,importance
sudden_fame,0.0
has_location,4.1773053351592255e-06
network_anomaly_flag,5.469123197428799e-05
abnormal_tweet_rate,0.00034365995884764723
has_default_pic,0.0003649126236353983
engagement_paradox,0.0005480343036679199
bio_is_generic,0.0008514142977736059
is_high_tweeter,0.0010706848114298358
burst_flag,0.0015751643137646547
bio_has_url,0.004836225143950961
has_description,0.00546890491789869
is_default_profile,0.006705060112161662
screen_name_digit_ratio,0.008368207380405805
screen_name_length,0.010651187300715454
description_word_count,0.017521389169513697
description_length,0.020140333244176786
has_geo,0.02314442962116784
tweets_per_day,0.027488544490467632
timing_regularity_score,0.030012249589470266
tweet_density,0.03237575559901127
lifetime_tweet_rate,0.034529294038165084
burst_index,0.03459389229138004
is_verified,0.03641886924816309
follower_friend_ratio,0.039780760275116754
friends_to_followers,0.04024101194823321
total_tweets,0.04125176150955486
profile_completeness,0.04418040875156819
account_age_days,0.04924794572287578
likes_per_day,0.07276220660300836
likes_to_tweets,0.07988691411871221
total_likes_given,0.09589913397696251
friends_count,0.1027460031678223
followers_count,0.13693677293306913
